model,train_r2,val_r2,train_mean_squared_error,val_mean_squared_error,train_mean_absolute_error,val_mean_absolute_error
linear,0.4424439239201396,-0.03992299724780355,0.8418886572482153,1.1051649932176804,0.7207172730556376,0.837814857993585
ridge,0.4332486604640421,-0.05584923406155664,0.856885553381099,1.1247192229219716,0.7265564244598686,0.8453849475158168
lasso,0.3915273316972937,-0.13108557181184474,0.9210703264005635,1.2230084845123521,0.7616931742736307,0.8700204269665391
elasticnet,0.4180965452624287,-0.12320457200026694,0.8790895588982878,1.2041210668179034,0.733204639363645,0.8684504185984551
bayesianridge,0.4267687800277435,-0.10011285779134807,0.8672632651081379,1.1838642903907233,0.7296571167430184,0.863783460716307
sgd,0.4136456172752327,-0.15526620109932177,0.8872504070523946,1.2606079646901605,0.7373796189270844,0.8875224326440405
knn,0.654221800852601,-0.15861481872712616,0.5179745687311246,1.1851107638332408,0.5613320242310913,0.873914750188409
svr,0.5863581280225867,-0.06959690697766452,0.6224153805469628,1.1493077403672447,0.5988211992822811,0.8414870791752256
kernel_ridge,-3.9106334091756905,-7.384601408140833,7.3353117771980205,8.216101730394872,2.542852024873423,2.68590448252707
decision_tree,-0.6308651659446176,-3.9893084164612787,2.5071739039145435,5.035053698813018,0.8562035834366256,1.8373934369894425
random_forest,0.7353632150750701,-0.33862321568348663,0.41279091814811436,1.3946789225728626,0.4257449492579456,0.9608039043870488
extra_trees,-0.6404830266484596,-2.603016930438706,2.60830076683253,3.612023138391867,1.0892273461776143,1.5752069104117512
gb,0.6913238655707735,-0.796425774862308,0.4664494999525429,1.836081457307668,0.5371601043257815,1.094527112726369
hist_gb,-0.14092300742588454,-3.092229976872871,1.7682244135903429,4.107463491564789,0.8285832897542118,1.6473768167282217
gp,-3.321845831080325,-6.453885961808949,6.408560778060419,7.1809654713573865,2.262429863700376,2.394966240179598
mlp,-1.368283187029057,-5.259410837750963,3.5278103329068626,6.04357513087237,1.5377862875830757,2.0321226887281743
xgb,0.2634125132407661,-1.9308198633637599,1.1360894627442077,2.9744107704652523,0.5769722034438887,1.401639834852226
lgbm,0.33681826287786854,-3.2647817473465133,1.0060491197512336,4.239503950560056,0.5402793899119553,1.68731713981586
catboost,0.7646305178833291,-0.7780834644661533,0.36225912596008436,1.8482922995757871,0.46511538157281274,1.0848509491433567
